time0,time1,time2,strike,MOT_max,MOT_min,McCormick_max,McCormick_min,Ratios
2022-03-02,2022-03-04,2022-04-01,51,1.3576438880997794,1.008405509405485,1.3432633537997274,1.056119929260727,0.8221989393392272
2022-03-15,2022-03-18,2022-04-14,50,0.9274819073810912,0.36392592670602436,0.9173105653216187,0.38053098672887725,0.9524867040710833
2022-04-21,2022-04-22,2022-05-20,54,1.2154040046283041,0.8230135077726514,1.2118852941116225,0.8299073951046639,0.9734636849461605
2022-05-25,2022-05-27,2022-06-24,54,1.3800383145278232,1.227937112847141,1.3759338002954329,1.235922970405305,0.9205110041409369
2022-10-18,2022-10-21,2022-11-18,49,1.1036984027838217,0.3461611808810801,1.0871013643232388,0.36328897672783017,0.9554809541600809
2022-10-19,2022-10-21,2022-11-18,48,1.4999285434744087,0.8765961442455954,1.4956565455259807,0.8831542883130902,0.9826254145792488
2022-10-31,2022-11-04,2022-12-02,55,1.5824643843801482,1.1579255554077734,1.5656919784050902,1.1762952432975458,0.9172228981978063
2022-11-01,2022-11-04,2022-12-02,56,1.347694330271736,0.6592590890483395,1.3395661425157985,0.6633303836828224,0.982279404568626
2022-11-17,2022-11-18,2022-12-16,58,0.9623576969356644,0.47539004911530935,0.9525335146164842,0.4887553417126287,0.9523798449028501
2022-11-25,2022-12-02,2022-12-30,60,1.1476589169855511,0.5726401459573591,1.1400402431544892,0.5775357143095708,0.978236811015931
2022-12-02,2022-12-09,2023-01-06,62,1.2386921978890628,0.7541704419130043,1.2244120456174519,0.791379973949581,0.8937309136831991
2022-12-07,2022-12-09,2023-01-06,62,1.2441023153248674,0.7249847797398339,1.236222365085748,0.7307144752018302,0.9737831131329865
2022-12-27,2022-12-30,2023-01-27,60,1.012749468826456,0.8181675907400259,0.9792694972118758,0.867854653658313,0.5725859193530557
2023-01-13,2023-01-20,2023-02-17,60,1.7646191845761074,1.164605515091606,1.7597352411249503,1.1687269644112968,0.9849913539826769
2023-01-17,2023-01-20,2023-02-17,60,1.4886206424289858,0.8263707136329299,1.4794205057807237,0.8385441039412059,0.9677258901403064
2023-01-18,2023-01-20,2023-02-17,59,1.3800072867395354,0.8302678598454309,1.3682734639960326,0.8339495984850652,0.9719584213374847
2023-01-19,2023-01-20,2023-02-17,59,1.3968353247773446,0.9664832009080057,1.3707438678677237,1.0335135592151334,0.7836148352668018
2023-01-25,2023-01-27,2023-02-24,59,1.446718593890701,0.9960960133556535,1.4435059945853435,1.0009405028930332,0.9821200951954723
2023-01-26,2023-01-27,2023-02-24,59,1.1790121976251098,0.9437791373344169,1.1606898984867469,0.9901505433824117,0.7249803870832973
2023-02-09,2023-02-10,2023-03-10,60,1.3529768753277023,1.2247311296531194,1.3490873026994312,1.2340598136571364,0.8969302524402744
2023-02-13,2023-02-17,2023-03-17,61,1.561489733373294,0.99092084237754,1.553174040663007,0.9974712265058122,0.9739451675807017
