time0,time1,time2,strike,MOT_max,MOT_min,McCormick_max,McCormick_min,Ratios
2022-04-18,2022-04-22,2022-04-29,53,1.1154914039883157,0.9696340524123377,1.1153279408015873,0.9749311736199012,0.9625621586070858
2022-07-01,2022-07-08,2022-07-15,53,0.614459984650548,0.36151893109101246,0.6015950538542209,0.37743695084392287,0.8862068843938662
2022-09-14,2022-09-16,2022-09-23,48,0.6357656524363079,0.48886575162504375,0.6246848893353149,0.5063227318048887,0.8057334067399875
2022-11-23,2022-11-25,2022-12-02,59,0.8148402554671043,0.6394163044470107,0.8132640739525921,0.6436507561964955,0.9668766252828764
2022-11-30,2022-12-02,2022-12-09,61,0.6652850325016111,0.4514994001335604,0.6620078782267546,0.456307095027625,0.9621824484678073
2022-12-15,2022-12-16,2022-12-23,61,0.6765575565723151,0.4650447318477534,0.6505157315029686,0.5021855992654151,0.7012819786729881
2022-12-27,2022-12-30,2023-01-06,60,0.6390951071765556,0.4024589006893522,0.628414751730007,0.41643210051068735,0.8958166392461294
2023-01-04,2023-01-06,2023-01-13,60,0.6557677652585716,0.5473358365367569,0.6477436574878908,0.5539455084845696,0.8650417834396643
2023-01-23,2023-01-27,2023-02-03,59,1.0422365890040541,0.6952606616672613,1.039223777773891,0.7027185254949224,0.9698230504398629
2023-01-25,2023-01-27,2023-02-03,59,1.1908430399164864,0.771447797872108,1.1872371756427207,0.7761306906727189,0.9802364065124527
2023-01-26,2023-01-27,2023-02-03,59,0.9713770835054971,0.7756555873020267,0.9477186283662217,0.7938143390681334,0.7863433106912828
2023-02-09,2023-02-10,2023-02-17,61,0.4485162085800274,0.3421252939690933,0.4404936073405291,0.35694170333127595,0.7853293142069323
