time0,time1,time2,strike,MOT_max,MOT_min,McCormick_max,McCormick_min,Ratios
2022-02-28,2022-03-04,2022-04-01,116,3.5174367468474728,1.6054623483290447,3.511889581506962,1.6162015889914094,0.9914818911720285
2022-03-01,2022-03-04,2022-04-01,112,3.9523061270788395,2.246517560603621,3.951742934935813,2.2515344552891325,0.9967287347692403
2022-03-02,2022-03-04,2022-04-01,113,3.5845255723541176,1.7690380850730418,3.575838097869969,1.7777782303856333,0.9904005839099227
2022-03-03,2022-03-04,2022-04-01,113,2.7673160411014686,0.729146822514302,2.7589292913591428,0.7498728663112647,0.985716203898188
2022-03-04,2022-03-11,2022-04-08,110,3.981893374478163,1.3041993354105748,3.979343353069621,1.3390060746811552,0.9860489062103113
2022-03-07,2022-03-11,2022-04-08,106,4.176529060976325,1.189836826844192,4.172061855721868,1.2115651106921992,0.9912292639987809
2022-03-08,2022-03-11,2022-04-08,105,4.0288059412581205,1.4639166706443825,4.024035213661338,1.4860997364821211,0.9894912448099284
2022-03-09,2022-03-11,2022-04-08,110,3.4563289121745484,1.155669227352846,3.4490989231736164,1.1700868913210722,0.9905906757474929
2022-03-10,2022-03-11,2022-04-08,108,3.3457286119738643,1.470982689928936,3.3371378279951407,1.4781460045799164,0.9915966753444009
2022-03-11,2022-03-18,2022-04-14,106,4.384491594740182,1.2668328156770914,4.379020851564894,1.2881922690292258,0.9913941202585723
2022-03-14,2022-03-18,2022-04-14,107,3.819539147150708,0.8463473346745746,3.8130500739457,0.8687753607568428,0.9902740552540423
2022-03-15,2022-03-18,2022-04-14,109,3.3888209138788246,0.8654003951531097,3.377242725744532,0.8908152801590214,0.9853401076571713
2022-03-16,2022-03-18,2022-04-14,114,3.3855797313323612,1.1232239082194768,3.379279458470352,1.147606503741482,0.9864376469560847
2022-03-17,2022-03-18,2022-04-14,116,2.7664357671763096,1.123298789418591,2.7347043912758315,1.145508379046208,0.9671719605496891
2022-03-18,2022-03-25,2022-04-22,117,3.2365689462100513,0.7907535520326135,3.231362201345829,0.8230317128470254,0.9846738614173942
2022-03-21,2022-03-25,2022-04-22,115,3.419720321856875,1.2264766717680116,3.4178305931698603,1.2339975236637921,0.9957092862973005
2022-03-22,2022-03-25,2022-04-22,118,2.562397233901592,0.7063236398771733,2.557167215673081,0.7292018470998531,0.9848560824626326
2022-03-23,2022-03-25,2022-04-22,115,3.0915349366838236,1.158222339383262,3.0843627879233715,1.1717844809869322,0.989275252024389
2022-03-24,2022-03-25,2022-04-22,116,2.3578326184079272,0.6117856333909486,2.356225781148897,0.6302835373594403,0.988485566883341
2022-03-25,2022-04-01,2022-04-29,116,3.332202601141012,1.202424357349416,3.330252557964876,1.2090907260862593,0.9959543149911982
2022-03-28,2022-04-01,2022-04-29,115,3.0389397954663417,0.9396655983115424,3.0339866362559933,0.9654204201225104,0.9853720961926098
2022-03-29,2022-04-01,2022-04-29,116,2.5255425467237727,0.7036916362465974,2.51399796146172,0.7227226718281929,0.9832172760856485
2022-03-30,2022-04-01,2022-04-29,115,2.3228446487729757,0.6072071229470446,2.3177367784234044,0.62366611118959,0.9874292452412207
2022-03-31,2022-04-01,2022-04-29,111,2.6519871293353257,1.055902714068731,2.6485741370363223,1.075571564723517,0.9855384572814503
2022-04-01,2022-04-08,2022-05-06,110,3.236306505098126,2.1698242852315572,3.2351602786688103,2.1737419334849264,0.9952517964309632
2022-04-04,2022-04-08,2022-05-06,110,3.0712669875949126,2.0135286069393534,3.0693629310042603,2.0168970654104106,0.9950152938021956
2022-04-05,2022-04-08,2022-05-06,109,2.711559097631525,0.954849654376563,2.7108703805190766,0.9613167972090906,0.9959265546317568
2022-04-06,2022-04-08,2022-05-06,107,2.5289943767079452,0.9608803111516457,2.5193087286648295,0.9648951376733799,0.9912630880203287
2022-04-07,2022-04-08,2022-05-06,106,2.9189653213787587,1.9200811083133793,2.8844669079131764,1.9302908466075948,0.9552419077456462
2022-04-08,2022-04-14,2022-05-13,108,3.732540667115901,1.5858836879370561,3.731690423404826,1.5969696947635288,0.9944396097498011
2022-04-11,2022-04-14,2022-05-13,108,3.5205740095928517,1.2844420160364278,3.5148316234950423,1.2948495207636301,0.9927777560217603
2022-04-12,2022-04-14,2022-05-13,107,3.4757919099314774,1.6308875613206795,3.4750313720727584,1.6417960992499865,0.9936749697637101
2022-04-13,2022-04-14,2022-05-13,105,2.7216136037361904,1.5645221743732662,2.7172660560581696,1.5682394102491495,0.9930301241982715
2022-04-14,2022-04-22,2022-05-20,105,2.8885224027462244,0.8371341476138067,2.8865692941574626,0.8590208273171056,0.9883787048929351
2022-04-18,2022-04-22,2022-05-20,107,2.6245196132146504,0.6805768011518597,2.6169672148420253,0.6986597130825932,0.986812724045027
2022-04-19,2022-04-22,2022-05-20,109,2.7963439086946513,1.1182824928391633,2.794218877122228,1.1300495010694311,0.9917213758260398
2022-04-20,2022-04-22,2022-05-20,110,2.7417996388226453,1.1544596237882045,2.7353309918447892,1.1644861417900818,0.9896082976403922
2022-04-21,2022-04-22,2022-05-20,109,2.548316291264604,0.9933655463486253,2.5378572506780936,1.005286572008605,0.985607218543955
2022-04-22,2022-04-29,2022-05-27,105,3.420173878258531,1.4918159117980372,3.4200566821299683,1.4932995032520813,0.9991698701120596
2022-04-25,2022-04-29,2022-05-27,105,3.241277007079972,1.371206119829678,3.2369255736809484,1.377443868988359,0.9943375501806381
2022-04-26,2022-04-29,2022-05-27,102,3.3112677297573025,1.354985543348694,3.3045695063848624,1.371439434318342,0.988165248090005
